"Internet, Financial Services",Mobile UX Interaction designer,"Our product Binge is a solution at the cutting edge of technology in the mobile payments space. The mobile payments industry is in the process of bringing about a change user behaviour and a great user experience is essential for making the road for change easier for the user to navigate. We’re looking for a UX Designer to join our team in Bangalore, someone who is adept at telling stories through...",https://www.linkedin.com/jobs?viewJob=&jobId=44930086&trk=api*a130653*s139051*
Information Technology and Services,Research Pathologist,"POSITION DESCRIPTION: The Research Pathologist will participate in the research and development of state of the art detection, diagnosis, prognosis, and prediction algorithms in the medical imaging domain − with emphasis toward digitized histology.  More specifically, the Research Pathologist will work with scientists and other computer vision experts to understand pathology images, create annotat...",https://www.linkedin.com/jobs?viewJob=&jobId=44995559&trk=api*a130653*s139051*
"Online Media, Newspapers",Product Manager Intern,This Job is based out of Bangalore.   Plash is looking for an intern who is passionate about News and Content Discovery in the Mobile world to join Product team for the summer / 3 months (with possibility of extending a full time offer) based on performance . The successful candidate must have strong experience working on technology products and ideally will have prior experience creating launch p...,https://www.linkedin.com/jobs?viewJob=&jobId=47153271&trk=api*a130653*s139051*
Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,https://www.linkedin.com/jobs?viewJob=&jobId=44257916&trk=api*a130653*s139051*
"Information Technology and Services, Computer Software",Mobile Engineer (iOS or Android),"Software Development Engineer II/III (Mobile Apps)  Major Media Company India Engineering Office   Our client is a major Media Company Headquartered in New York and is seeking talented and innovative iOS and Android engineers to join the Bangalore Native Apps Team. The team’s charter is to rapidly prototype and launch new mobile, tablet, wearable and TV based apps for the portfolio of brands owned...",https://www.linkedin.com/jobs?viewJob=&jobId=44954379&trk=api*a130653*s139051*
Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,https://www.linkedin.com/jobs?viewJob=&jobId=44257916&trk=api*a130653*s139051*
"Information Technology and Services, Computer Software",Mobile Engineer (iOS or Android),"Software Development Engineer II/III (Mobile Apps)  Major Media Company India Engineering Office   Our client is a major Media Company Headquartered in New York and is seeking talented and innovative iOS and Android engineers to join the Bangalore Native Apps Team. The team’s charter is to rapidly prototype and launch new mobile, tablet, wearable and TV based apps for the portfolio of brands owned...",https://www.linkedin.com/jobs?viewJob=&jobId=44954379&trk=api*a130653*s139051*
Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",https://www.linkedin.com/jobs?viewJob=&jobId=44289028&trk=api*a130653*s139051*
Information Technology and Services,Software Developer,"Experience - 2+ years Job Function – Techno-Functional  As a Software Engineer of the Customer Success team you will be responsible to Work through the entire Software Development Life Cycle, from gathering customer requirements, analysing, developing, and deploying them. Understand the product thoroughly and be a functional expert throughout the breadth of Cloud Lending’s products. Analyse custom...",https://www.linkedin.com/jobs?viewJob=&jobId=58403045&trk=api*a130653*s139051*
Computer Software,QA Engineer,"GENWI is looking for QA engineer to plan &amp; execute QA activities for Genwi Platform and Mobile Apps. As the QA Engineer, your key responsibilities would include : Plan the QA activities of Genwi Platform and iOS, Android &amp; HTML5 Apps Develop testcases for GENWI Platform and Apps Manual testing of GENWI Platform and iOS, Android &amp; HTML5 apps Managing iOS, Android and HTML5 Apps build an...",https://www.linkedin.com/jobs?viewJob=&jobId=44246033&trk=api*a130653*s139051*
